Device,Day,Hour,Type,Sub-Type,Value
PV,11,16,Generated,Electricity,0.33
PV,11,17,Generated,Electricity,0.08
PV,11,18,Generated,Electricity,0.0
PV,11,19,Generated,Electricity,0.0
PV,11,20,Generated,Electricity,0.0
PV,11,21,Generated,Electricity,0.0
PV,11,22,Generated,Electricity,0.0
PV,11,23,Generated,Electricity,0.0
PV,12,0,Generated,Electricity,0.0
PV,12,1,Generated,Electricity,0.0
PV,12,2,Generated,Electricity,0.0
PV,12,3,Generated,Electricity,0.0
PV,12,4,Generated,Electricity,0.0
PV,12,5,Generated,Electricity,0.0
PV,12,6,Generated,Electricity,0.0
PV,12,7,Generated,Electricity,0.02
PV,12,8,Generated,Electricity,0.2
PV,12,9,Generated,Electricity,0.46
PV,12,10,Generated,Electricity,0.69
PV,12,11,Generated,Electricity,0.86
PV,12,12,Generated,Electricity,0.93
PV,12,13,Generated,Electricity,0.9
PV,12,14,Generated,Electricity,0.78
PV,12,15,Generated,Electricity,0.58
PV,12,16,Generated,Electricity,0.33
PV,12,17,Generated,Electricity,0.08
PV,12,18,Generated,Electricity,0.0
PV,12,19,Generated,Electricity,0.0
PV,12,20,Generated,Electricity,0.0
PV,12,21,Generated,Electricity,0.0
PV,12,22,Generated,Electricity,0.0
PV,12,23,Generated,Electricity,0.0
PV,13,0,Generated,Electricity,0.0
PV,13,1,Generated,Electricity,0.0
PV,13,2,Generated,Electricity,0.0
PV,13,3,Generated,Electricity,0.0
PV,13,4,Generated,Electricity,0.0
PV,13,5,Generated,Electricity,0.0
PV,13,6,Generated,Electricity,0.0
PV,13,7,Generated,Electricity,0.02
PV,13,8,Generated,Electricity,0.2
PV,13,9,Generated,Electricity,0.46
PV,13,10,Generated,Electricity,0.69
PV,13,11,Generated,Electricity,0.86
PV,13,12,Generated,Electricity,0.93
PV,13,13,Generated,Electricity,0.9
PV,13,14,Generated,Electricity,0.78
PV,13,15,Generated,Electricity,0.58
PV,13,16,Generated,Electricity,0.33
PV,13,17,Generated,Electricity,0.08
PV,13,18,Generated,Electricity,0.0
PV,13,19,Generated,Electricity,0.0
PV,13,20,Generated,Electricity,0.0
PV,13,21,Generated,Electricity,0.0
PV,13,22,Generated,Electricity,0.0
PV,13,23,Generated,Electricity,0.0
PV,14,0,Generated,Electricity,0.0
PV,14,1,Generated,Electricity,0.0
PV,14,2,Generated,Electricity,0.0
PV,14,3,Generated,Electricity,0.0
PV,14,4,Generated,Electricity,0.0
PV,14,5,Generated,Electricity,0.0
PV,14,6,Generated,Electricity,0.0
PV,14,7,Generated,Electricity,0.02
PV,14,8,Generated,Electricity,0.2
PV,14,9,Generated,Electricity,0.46
PV,14,10,Generated,Electricity,0.69
PV,14,11,Generated,Electricity,0.86
PV,14,12,Generated,Electricity,0.93
PV,14,13,Generated,Electricity,0.9
PV,14,14,Generated,Electricity,0.78
PV,14,15,Generated,Electricity,0.58
PV,14,16,Generated,Electricity,0.33
PV,14,17,Generated,Electricity,0.08
PV,14,18,Generated,Electricity,0.0
PV,14,19,Generated,Electricity,0.0
PV,14,20,Generated,Electricity,0.0
PV,14,21,Generated,Electricity,0.0
PV,14,22,Generated,Electricity,0.0
PV,14,23,Generated,Electricity,0.0
PV,15,0,Generated,Electricity,0.0
PV,15,1,Generated,Electricity,0.0
PV,15,2,Generated,Electricity,0.0
PV,15,3,Generated,Electricity,0.0
PV,15,4,Generated,Electricity,0.0
PV,15,5,Generated,Electricity,0.0
PV,15,6,Generated,Electricity,0.0
